Barcode,Product Name,Department,Brand,Supplier,total_qty,total_revenue,times_sold,avg_cost
5060688010055,BIDLEY DAIRY SEMI-SKIMMED 2L,DEFAULT,,,199.0,495.51000000000005,171,1.0
5000177500971,MR FREEZE CLASSIC,RETAIL GROCERY,,,167.0,66.8,45,1.0
5060688010048,BIDLEA SEMI-SKIMMED MILK,GROCERY,,,167.0,298.93,158,1.0
5060286261637,FREE RANGE EGGS,GROCERY,,,163.0,415.65,143,1.25
5060688010086,BIDLEA DAIRY WHOLE MILK,DEFAULT,,,127.0,316.23,111,1.0
5060221241847,TANGO ASST ICE POPS,RETAIL GROCERY,,,108.0,81.0,36,0.01
5060688010079,BIDLEA WHOLE MILK,GROCERY,,,90.0,161.1,82,1.0
90493317,RED BULL £1.75,SOFT DRINKS,,PARFETTS,88.0,154.0,72,0.87
5000112693577,COCA COLA £1.15,SOFT DRINKS,,PARFETTS,87.0,100.05,70,0.62
7622202275579,Cadbury Starbar PM89,CONFECTIONERY,,,74.0,65.86,41,0.55
5027291010308,WHITE BOX MEDIUM,BAKERY,,,73.0,159.87,73,1.0
5056784914151,MONSTER ULTRA,SOFT DRINKS,,PARFETTS,73.0,127.75,70,0.75
5027291017000,HENLLAN WHITE BAPS 4'S,BAKERY,,,69.0,130.41,64,1.0
5060688010031,BIDLEA SEMI-SKIMMED MILK,GROCERY,,,68.0,74.12,61,1.0
5060688010208,BIDLEA STRAWBERRY MILKSHAKE,GROCERY,,,63.0,93.87,57,1.0
5027291010513,HEN.BREAD WELSH F/H WHT,BAKERY,,,63.0,148.05,63,1.0
5010459005025,HIGHLAND SPRING WATER,SOFT DRINKS,,,62.0,108.5,45,0.508
5056784914182,MONSTER MANGO LOCO,SOFT DRINKS,,,60.0,111.0,57,1.398421052631579
5015587000010,ICE COMP PARTY ICE CUBES,FROZEN FOODS,,,60.0,129.0,47,0.17
8000920401170,WALLS CALIPPO ORANGE,FROZEN FOODS,,,56.0,95.2,34,1.0
90493850,RED BULL £2.20,SOFT DRINKS,,PARFETTS,55.0,121.00000000000001,47,1.2
5016860639286,DELAMERE CHOC FLAV MILK,CHILLED FOODS,,,55.0,85.25,51,0.08
7622202342370,CADBURY DAIRY MILK £1.95,CONFECTIONERY,,PARFETTS,53.0,103.35,49,1.25
5000159603751,Galaxy Smooth Mlk Blck PM169,CONFECTIONERY,,,53.0,89.57,44,1.08
90493577,RED BULL ENERGY PM280,SOFT DRINKS,,,53.0,148.39999999999998,47,1.7100000000000002
5027291010520,HEN.BREAD WELSH F/H HARV.,BAKERY,,,52.0,129.48000000000002,50,1.0
5054267014220,LUCOZADE ENERGY ORANGE PM150,SOFT DRINKS,,,52.0,78.0,46,0.685
8711327681125,CORNETTO MAX CHOC & HAZELNUT,ICE CREAM,,,51.0,126.99000000000001,32,1.0
5056784900420,MONSTER RIO PUNCH,SOFT DRINKS,,,50.0,87.5,26,0.8861538461538461
5000237206072,HULA HOOPS BBQ BEEF,CRISPS & SNACKS,,,49.0,66.15,44,0.8
5010478800045,VIMTO ORIGINAL CHEW BAR 15P,CONFECTIONERY,,,49.0,9.8,26,0.1
5027291017154,BROWN BAPS 4,BAKERY,,,49.0,90.65,48,1.0
5010478900998,SMATLOW REFRESH LEMON CHEW,CONFECTIONERY,,,48.0,9.6,32,0.1
5027291013156,WHOLEMEAL FLOURY THICK,BAKERY,,,48.0,81.42,46,1.0
5054267013339,Lucozade Sport Rspbery PM200,RETAIL GROCERY,,,46.0,92.0,39,1.0
5060688010178,BIDLEY CHOCOLATE MILK,GROCERY,,,46.0,68.54,44,1.0
5015552601112,BUXTON WATER,SOFT DRINKS,,,45.0,69.75,44,0.58
5060688010062,BIDLEA WHOLE MILK,GROCERY,,,44.0,47.96,40,1.0
5000328037189,SQUARES SALT & VINEGAR,CRISPS & SNACKS,,,44.0,59.400000000000006,41,0.7436585365853658
5010478100213,SMATLOW DRUMSTICK CHEW BAR,CONFECTIONERY,,,44.0,8.8,23,0.02
5000112693676,COCA COLA PM1.85,SOFT DRINKS,,PARFETTS,44.0,81.4,38,1.06
7622202211942,TREBOR S/MINT S/MINT 69P,CONFECTIONERY,,PARFETTS,44.0,30.36,38,0.4242105263157895
3068320084602,EVIAN MINERAL WATER PET,,,,43.0,89.86999999999999,38,0.13
3057640136993,VOLVIC MINERAL WATER,SOFT DRINKS,,,43.0,72.67,38,0.08
4062139024216,PEPSI MAX,SOFT DRINKS,,,42.0,58.379999999999995,39,0.7753846153846154
8721274807288,TWISTER PINEAPPLE,ICE CREAM,,,42.0,71.39999999999999,32,1.0
5054267012936,LUCOZADE ALERT CHERRY PM100,SOFT DRINKS,,,42.0,42.0,40,0.48
7640175742461,BOMBAY SAPPHIRE  TONIC,ALCOHOL,,,41.0,151.29,22,1.62
5010459005292,HIGHLAND STILL WATER,SOFT DRINKS,,,40.0,42.0,33,0.33
8711327663961,Magnum Utopia Double Cherry,FROZEN FOODS,,,40.0,103.6,34,1.36
5000159460880,SNICKERS ICE CREAM BAR,ICE CREAM,,,40.0,79.6,33,1.0
5054267016491,LUC SP ICE K JUDE £1.60,SOFT DRINKS,,PARFETTS,40.0,64.0,32,0.95
5027291017208,4 MULTIGRAIN BAPS,BAKERY,,,39.0,77.61,37,1.0
8721274808360,CORNETTO STRAWBERRY,ICE CREAM,,,39.0,77.61,27,1.0
5000112684810,OASIS SUMMER FRUIT PM?1.40,SOFT DRINKS,,,39.0,54.599999999999994,34,0.8
5054267016446,LUCOZADE SPORT ORANGE,SOFT DRINKS,,PARFETTS,38.0,60.800000000000004,37,0.95
5410228337379,STELLA PINT CAN £7.99,BEER LAGER,,PARFETTS,36.0,287.64,32,4.5
3296180005394,LA VIEILLE FERME ROSE,ALCOHOL,,,36.0,342.0,36,5.5
